Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
150309 GOIANESIA DO PARA;8,38;941;11228
150310 GURUPA;4,28;392;9157
150320 IGARAPE-ACU;11,67;1606;13763
150330 IGARAPE-MIRI;8,54;1879;22003
150340 INHANGAPI;7,21;253;3510
150345 IPIXUNA DO PARA;10,62;1503;14153
150350 IRITUIA;3,98;511;12843
150360 ITAITUBA;7,11;2722;38268
150370 ITUPIRANGA;8,67;1446;16683
150375 JACAREACANGA;6,82;284;4164
150380 JACUNDA;15,28;3213;21032
150390 JURUTI;8,74;1404;16064
150400 LIMOEIRO DO AJURU;4,28;412;9637
150405 MAE DO RIO;7,04;752;10688
150410 MAGALHAES BARATA;4,83;120;2483
150420 MARABA;9,59;9604;100117
150430 MARACANA;4,7;450;9565
150440 MARAPANIM;4,52;459;10148
150442 MARITUBA;14,44;6627;45908
150445 MEDICILANDIA;2,41;260;10776
150450 MELGACO;14,25;1061;7446
150460 MOCAJUBA;11,57;1219;10537
150470 MOJU;5,93;1528;25774
150480 MONTE ALEGRE;6,91;1338;19371
150490 MUANA;9,83;1165;11852
150495 NOVA ESPERANCA DO PIRIA;1,75;112;6392
150497 NOVA IPIXUNA;6,44;370;5742
150500 NOVA TIMBOTEUA;6,4;339;5300
150503 NOVO PROGRESSO;3,45;430;12473
150506 NOVO REPARTIMENTO;4,57;997;21832
150510 OBIDOS;5,58;1034;18543
150520 OEIRAS DO PARA;4,43;406;9174
150530 ORIXIMINA;9,96;2298;23071
150540 OUREM;6,51;354;5434
150543 OURILANDIA DO NORTE;6,91;766;11084
150548 PACAJA;4,29;560;13064
150549 PALESTINA DO PARA;6,39;163;2551
150550 PARAGOMINAS;9,97;4123;41360
150553 PARAUAPEBAS;10,53;7359;69877
150555 PAU D'ARCO;8,66;177;2045
150560 PEIXE-BOI;10,69;281;2629
150563 PICARRA;11,46;535;4668
150565 PLACAS;6,11;537;8790
150570 PONTA DE PEDRAS;9,52;850;8926
150580 PORTEL;8,5;1338;15746
150590 PORTO DE MOZ;5,27;599;11374
150600 PRAINHA;4,11;395;9602
150610 PRIMAVERA;14,28;592;4147
150611 QUATIPURU;9,37;428;4570
150613 REDENCAO;7,5;2511;33459
150616 RIO MARIA;6,84;535;7824
150618 RONDON DO PARA;11,34;2145;18915
150619 RUROPOLIS;8,52;1187;13938
